Client,Recency,Frequency,Monetary,RFM_Score,Cluster_KMeans
1218,117,2,1757.0,322,2
1215,372,2,1768.05,122,0
1214,4,3,1769.15,432,2
1213,100,2,1769.9,432,2
1212,290,2,1771.0,212,2
1211,331,2,1772.95,122,0
1209,351,2,1776.0,122,0
1207,514,2,1777.0,112,0
1206,243,2,1777.0,212,2
1205,131,2,1778.1,332,2
1200,47,2,1786.0,422,2
1198,51,2,1787.0,422,2
1196,110,2,1791.0,322,2
1195,46,2,1791.65,422,2
1193,83,2,1794.0,432,2
1191,334,2,1795.0,122,0
1149,79,2,1795.75,432,2
1150,6,2,1795.75,432,2
1143,250,2,1796.0,212,2
1144,202,2,1796.0,212,2
1146,200,2,1796.0,212,2
1145,344,2,1796.0,122,0
1141,167,2,1797.0,312,2
1139,601,3,1797.0,132,0
1134,217,2,1797.0,212,2
1142,290,2,1797.0,212,2
1132,139,2,1798.0,332,2
1129,318,3,1798.0,232,0
1122,315,3,1798.0,232,0
1133,160,2,1798.0,322,2
1118,82,2,1801.0,432,2
1114,173,3,1805.0,342,2
1113,15,2,1806.0,432,2
1112,177,2,1807.1,312,2
1111,96,2,1809.0,432,2
1110,104,2,1814.0,432,2
1109,72,2,1815.0,432,2
1108,127,2,1815.12,332,2
1107,201,2,1815.45,212,2
1106,344,2,1817.0,122,0
1105,206,2,1818.3,212,2
1104,348,2,1820.45,122,0
1103,495,4,1822.0,142,0
1101,353,2,1825.0,122,0
1094,129,2,1829.85,332,2
1092,150,3,1832.75,342,2
1091,134,2,1835.0,332,2
1089,214,2,1836.0,212,2
1088,96,3,1836.0,432,2
1087,110,3,1837.0,342,2
1086,184,2,1837.15,312,2
1082,115,3,1841.0,342,2
1081,248,2,1841.8,212,2
1076,40,2,1845.8,422,2
1075,200,2,1846.0,212,2
1074,260,3,1846.0,242,2
1073,74,2,1846.25,432,2
1072,46,2,1847.3,422,2
1071,105,2,1847.55,432,2
1065,154,2,1848.0,332,2
1062,146,2,1848.15,332,2
1061,206,2,1848.15,212,2
1064,381,2,1848.15,122,0
1063,179,2,1848.15,312,2
1060,117,2,1849.0,322,2
1058,583,3,1852.1,132,0
1056,272,3,1854.0,242,2
1054,17,2,1855.0,432,2
1052,100,2,1857.0,432,2
1053,9,2,1857.0,432,2
1050,57,2,1862.0,422,2
1048,108,2,1865.0,432,2
1047,123,4,1872.3,342,1
1045,311,2,1876.45,222,0
1042,113,2,1882.0,322,2
1038,297,2,1887.0,212,2
1039,100,2,1887.0,432,2
1036,241,2,1890.0,212,2
1035,126,2,1891.1,322,2
1034,109,2,1891.7,322,2
1032,641,2,1892.1,122,0
1031,115,3,1893.15,342,2
1030,58,3,1894.0,432,2
1027,309,2,1895.0,222,0
1029,151,3,1895.0,342,2
1028,193,3,1895.0,242,2
1025,37,2,1895.75,422,2
1026,11,2,1895.75,432,2
1023,210,2,1896.0,212,2
1024,183,2,1896.0,312,2
1021,572,2,1896.0,112,0
1022,100,2,1896.0,432,2
1018,150,2,1897.0,332,2
1019,162,2,1897.0,312,2
1016,193,2,1898.0,212,2
1013,229,2,1898.0,212,2
1011,266,2,1898.0,212,2
1005,35,2,1901.0,422,2
1004,280,3,1901.15,242,2
1002,158,2,1905.0,332,2
1003,95,2,1905.0,432,2
1001,166,2,1905.0,312,2
999,113,2,1906.0,322,2
